method,safe_set,seed,interactions,chain_success,catch_success,control_error,prediction_error,transition_margin,p10_transition_margin,unsafe_command_rate,raw_unsafe_proposal_rate,violation_rate,filter_intervention_rate,mean_confidence,mean_correction_norm
residual_finetune,0,42,0,0.0,0.25555555555555554,0.4930903064253122,0.4930903064253122,-0.04675568500823546,-0.1369111334196786,0.0,0.0,0.005555555555555556,0.0,0.0,0.0
residual_finetune,0,42,20,1.0,1.0,0.058033514712439505,0.054138259297331154,0.4341105526635563,0.3849198820120686,0.0,0.0,0.0,0.0,1.0,0.4336142318761137
residual_finetune,0,42,40,1.0,1.0,0.051216744036728816,0.045762500255029065,0.4420596274464523,0.40812545125166666,0.011111111111111112,0.011111111111111112,0.0,0.0,1.0,0.4153890340352147
residual_finetune,0,42,60,1.0,1.0,0.041566505252059745,0.03708781088204874,0.4530566550939473,0.4225379518666212,0.005555555555555556,0.005555555555555556,0.0,0.0,1.0,0.4327844712686332
residual_finetune,0,42,80,0.9722222222222222,0.9944444444444445,0.04827063139034504,0.03672249324771179,0.4461591427841185,0.3836477125546298,0.011111111111111112,0.011111111111111112,0.0,0.0,1.0,0.42951946899643584
residual_finetune,0,42,100,1.0,1.0,0.03985840054287005,0.03517247394880301,0.45515347507575715,0.3987377024414379,0.0,0.0,0.0,0.0,1.0,0.4320193971367904
residual_finetune,0,42,120,1.0,1.0,0.04100785850359533,0.03458226791886359,0.4540055454993461,0.41544941095240073,0.011111111111111112,0.011111111111111112,0.0,0.0,1.0,0.43721352752949133
residual_finetune,0,42,140,0.9722222222222222,0.9944444444444445,0.038473533516323585,0.029237417220451676,0.45682901097800216,0.43387371712475664,0.022222222222222223,0.022222222222222223,0.0,0.0,1.0,0.43641607516599756
residual_finetune,0,42,160,1.0,1.0,0.042389794762366796,0.03305340080254022,0.4526999738210003,0.39443908874671757,0.005555555555555556,0.005555555555555556,0.0,0.0,1.0,0.4294836848024486
residual_finetune,0,42,180,0.9722222222222222,0.9944444444444445,0.05151133205257279,0.030845715590241726,0.4426292735234064,0.3852942207910325,0.027777777777777776,0.027777777777777776,0.0,0.0,1.0,0.43014610817477333
residual_finetune,0,42,200,1.0,1.0,0.04170694375342955,0.029412245621811776,0.4534630410132244,0.40133550074205393,0.005555555555555556,0.005555555555555556,0.0,0.0,1.0,0.43499957904257275
residual_finetune,0,42,220,0.9722222222222222,0.9944444444444445,0.04450990553065933,0.02848477549627325,0.45027471166945154,0.41513109253150837,0.011111111111111112,0.011111111111111112,0.0,0.0,1.0,0.4396437438630222
residual_finetune,0,42,240,0.9722222222222222,0.9944444444444445,0.05312162959101355,0.02924934725450446,0.44093505187635,0.36571085312600793,0.03888888888888889,0.03888888888888889,0.005555555555555556,0.0,1.0,0.4291902586487722
residual_finetune,0,43,0,0.0,0.3055555555555556,0.4821265347623354,0.4821265347623354,-0.03461580529066658,-0.13393737802025873,0.0,0.0,0.005555555555555556,0.0,0.0,0.0
residual_finetune,0,43,20,1.0,1.0,0.06126219355844837,0.05777474323454219,0.4305950895141483,0.37373632257443307,0.0,0.0,0.0,0.0,1.0,0.4398092473499719
residual_finetune,0,43,40,1.0,1.0,0.054749972195789,0.04846740690063677,0.43862594298647095,0.37729892442945906,0.005555555555555556,0.005555555555555556,0.0,0.0,1.0,0.43700175198073654
residual_finetune,0,43,60,1.0,1.0,0.05258666058445783,0.038616739107824115,0.4413918616167228,0.37499576185953776,0.0,0.0,0.0,0.0,1.0,0.4395332451264027
